"x","median","fifth","ninetyfifth","twentyfifth","seventyfifth"
3235.78507838935,0.89,0,0,0.81,0.923
3238.17527435594,0.89,0,0,0.81,0.923
3240.56547032254,0.89,0,0,0.81,0.923
3242.95566628913,0.89,0,0,0.81,0.923
3245.34586225572,0.89,0,0,0.81,0.923
3247.73605822232,0.89,0,0,0.81,0.923
3250.12625418891,0.89,0,0,0.81,0.923
3252.51645015551,0.89,0,0,0.81,0.923
3254.9066461221,0.89,0,0,0.81,0.923
3257.29684208869,0.89,0,0,0.81,0.923
3259.68703805529,0.89,0,0,0.81,0.923
3262.07723402188,0.89,0,0,0.81,0.923
3264.46742998848,0.89,0,0,0.81,0.923
3266.85762595507,0.89,0,0,0.81,0.923
3269.24782192166,0.89,0,0,0.81,0.923
3271.63801788826,0.89,0,0,0.81,0.923
3274.02821385485,0.89,0,0,0.81,0.923
3276.41840982145,0.89,0,0,0.81,0.923
3278.80860578804,0.89,0,0,0.81,0.923
3281.19880175463,0.89,0,0,0.81,0.923
3283.58899772123,0.89,0,0,0.81,0.923
3285.97919368782,0.89,0,0,0.81,0.923
3288.36938965442,0.89,0,0,0.81,0.923
3290.75958562101,0.89,0,0,0.81,0.923
3293.1497815876,0.89,0,0,0.81,0.923
3295.5399775542,0.89,0,0,0.81,0.923
3297.93017352079,0.89,0,0,0.81,0.923
3300.32036948739,0.89,0,0,0.81,0.923
3302.71056545398,0.892,0,0,0.81,0.923
3305.10076142057,0.892,0,0,0.81,0.923
3307.49095738717,0.892,0,0,0.81,0.923
3309.88115335376,0.892,0,0,0.81,0.923
3312.27134932036,0.892,0,0,0.81,0.923
3314.66154528695,0.892,0,0,0.81,0.923
3317.05174125354,0.892,0,0,0.81,0.923
3319.44193722014,0.892,0,0,0.81,0.923
